population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,17.510124174202918,37.383533901703814,7.717622950249239
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,1450.5240863791746,3112.4994075773593,626.9184716389989
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0004079801053492938,0.0008601585532451251,0.00017811723434922404
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,15.864697948936408,34.04208412058757,6.856743906947897
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,1044.4709824646,2315.7341867032737,458.3594495475881
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.00012480255578422805,0.0002722632327268078,5.512135701502758e-05
1,All Population,2,DALYs (Disability-Adjusted Life Years),522,Sudan,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,9.792504144056855,21.711313191598894,4.297378179498155
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,5424.655862210011,11995.013199795878,2353.876774999587
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.00043832596057866304,0.0009162139252089238,0.00019287334328923036
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,18.94709883308712,41.895874387896484,8.221560414093398
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,40.11025502686151,87.46866526116725,18.092475079394163
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.0011625353136174436,0.002368305127220147,0.0005132206895188805
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1993,24.36010899200229,53.12223065448115,10.988079347138802
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,5208.592772638588,11556.782109882728,2270.0777252890143
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0004095321555652094,0.0008672654626641904,0.0001769625283745556
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,18.53624857359348,41.12807340688382,8.078712779847143
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1991,1961.8174373279528,4208.789825305972,859.0283934926067
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1991,0.0003231916827487105,0.0006430409331591787,0.00014393630083650425
1,All Population,2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,15.107530538946667,32.41097749871242,6.615191322892889
